"","NYHAClass","variable","mean","sd","sem","median","q1","q3","n"
"313","II","StepData.MaximumDailyStdErrSteps",0.519612772419292,0.120836501282144,0.0204250966370223,0.543341904190371,0.423930297545905,0.625421579774504,35
"314","III","StepData.MaximumDailyStdErrSteps",0.397767614366062,0.113856128577018,0.0293975259894962,0.381767394876802,0.305928469109249,0.440979665166521,15
"316","II","StepData.MeanDailyStdErrSteps",0.315314604554944,0.0937535534729321,0.0158472429227132,0.317941090496395,0.250790488956361,0.372306250253435,35
"317","III","StepData.MeanDailyStdErrSteps",0.244760897726835,0.100164619932197,0.0258623936584397,0.232282256608357,0.177306701559978,0.318689608478436,15
"319","II","StepData.ModeDailyStdErrSteps",0.227359029218855,0.170416273114611,0.0288056076595581,0.202336177418248,0.12964601652886,0.351571506242223,35
"320","III","StepData.ModeDailyStdErrSteps",0.161883226587047,0.133576824141498,0.0344893876892865,0.198235565656516,0.0162806394134248,0.265757015756116,15
"322","II","StepData.MinimumDailyStdErrSteps",0.0956649212079348,0.100487716755952,0.0169855242728494,0.0754989452018028,0,0.181354212209474,35
"323","III","StepData.MinimumDailyStdErrSteps",0.0854494403269199,0.0986324475108901,0.025466788440357,0.0306554197392931,0,0.163686925993911,15
"325","II","StepData.StdDevDailyStdErrSteps",0.120778021571511,0.0480873801936066,0.00812825079387488,0.122013525152896,0.0811136188391046,0.145012116528667,35
"326","III","StepData.StdDevDailyStdErrSteps",0.0915631331653124,0.0368984415027997,0.00952713662942344,0.0887506341526666,0.0644040228537702,0.123782742115083,15
"328","II","StepData.StdErrDailyStdErrSteps",0.0302221868093062,0.0112526870345951,0.0019020512648833,0.0291948162704671,0.0202647173977467,0.0363807040851666,35
"329","III","StepData.StdErrDailyStdErrSteps",0.0230150537073329,0.00926436421292517,0.00239204855399061,0.0237196047041569,0.0166585001106559,0.0312308176844056,15
"331","II","StepData.MaximumDailyQ1Steps",0,0,0,0,0,0,35
"332","III","StepData.MaximumDailyQ1Steps",0,0,0,0,0,0,15
"334","II","StepData.MeanDailyQ1Steps",0,0,0,0,0,0,35
"335","III","StepData.MeanDailyQ1Steps",0,0,0,0,0,0,15
"337","II","StepData.ModeDailyQ1Steps",0,0,0,0,0,0,35
"338","III","StepData.ModeDailyQ1Steps",0,0,0,0,0,0,15
"340","II","StepData.MinimumDailyQ1Steps",0,0,0,0,0,0,35
"341","III","StepData.MinimumDailyQ1Steps",0,0,0,0,0,0,15
"343","II","StepData.StdDevDailyQ1Steps",0,0,0,0,0,0,35
"344","III","StepData.StdDevDailyQ1Steps",0,0,0,0,0,0,15
"346","II","StepData.StdErrDailyQ1Steps",0,0,0,0,0,0,35
"347","III","StepData.StdErrDailyQ1Steps",0,0,0,0,0,0,15
"349","II","StepData.MaximumDailyMinimumSteps",0,0,0,0,0,0,35
"350","III","StepData.MaximumDailyMinimumSteps",0,0,0,0,0,0,15
"352","II","StepData.MeanDailyMinimumSteps",0,0,0,0,0,0,35
"353","III","StepData.MeanDailyMinimumSteps",0,0,0,0,0,0,15
"355","II","StepData.ModeDailyMinimumSteps",0,0,0,0,0,0,35
"356","III","StepData.ModeDailyMinimumSteps",0,0,0,0,0,0,15
"358","II","StepData.MinimumDailyMinimumSteps",0,0,0,0,0,0,35
"359","III","StepData.MinimumDailyMinimumSteps",0,0,0,0,0,0,15
"361","II","StepData.StdDevDailyMinimumSteps",0,0,0,0,0,0,35
"362","III","StepData.StdDevDailyMinimumSteps",0,0,0,0,0,0,15
